Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
2.0,Sun,2023-08-27,20:45,Lazio,Genoa,1.4,0.6,0–1,40000.0,Livio Marinelli,2023-2024,18
2.0,Mon,2023-08-28,18:30,Salernitana,Udinese,0.5,0.8,1–1,20000.0,Davide Massa,2023-2024,19
2.0,Mon,2023-08-28,20:45,Cagliari,Inter,0.6,0.9,0–2,16412.0,Michael Fabbri,2023-2024,20
3.0,Fri,2023-09-01,18:30,Sassuolo,Hellas Verona,1.7,0.6,3–1,10356.0,Marco Piccinini,2023-2024,22
3.0,Fri,2023-09-01,20:45,Roma,Milan,0.7,1.5,1–2,61690.0,Antonio Rapuano,2023-2024,23
3.0,Sat,2023-09-02,18:30,Bologna,Cagliari,2.3,0.5,2–1,22818.0,Daniele Orsato,2023-2024,24
3.0,Sat,2023-09-02,18:30,Udinese,Frosinone,1.5,1.8,0–0,20116.0,Marco Guida,2023-2024,25
3.0,Sat,2023-09-02,20:45,Napoli,Lazio,1.3,0.6,1–2,42000.0,Andrea Colombo,2023-2024,26
3.0,Sat,2023-09-02,20:45,Atalanta,Monza,1.3,0.4,3–0,14985.0,Matteo Marcenaro,2023-2024,27
3.0,Sun,2023-09-03,18:30,Torino,Genoa,0.4,0.2,1–0,24433.0,Daniele Chiffi,2023-2024,28
3.0,Sun,2023-09-03,18:30,Inter,Fiorentina,3.7,0.4,4–0,72739.0,Matteo Marchetti,2023-2024,29
3.0,Sun,2023-09-03,20:45,Lecce,Salernitana,1.7,1.1,2–0,28052.0,Luca Massimi,2023-2024,30
3.0,Sun,2023-09-03,20:45,Empoli,Juventus,0.3,2.7,0–2,15702.0,Giovanni Ayroldi,2023-2024,31
4.0,Sat,2023-09-16,15:00,Juventus,Lazio,2.2,0.6,3–1,40652.0,Fabio Maresca,2023-2024,33
4.0,Sat,2023-09-16,18:00,Inter,Milan,2.6,1.1,5–1,75571.0,Simone Sozza,2023-2024,34
4.0,Sat,2023-09-16,20:45,Genoa,Napoli,1.2,0.9,2–2,33275.0,Michael Fabbri,2023-2024,35
4.0,Sun,2023-09-17,12:30,Cagliari,Udinese,1.6,0.7,0–0,15121.0,Daniele Doveri,2023-2024,36
4.0,Sun,2023-09-17,15:00,Monza,Lecce,2.2,0.9,1–1,13074.0,Livio Marinelli,2023-2024,37
4.0,Sun,2023-09-17,15:00,Frosinone,Sassuolo,2.8,1.3,4–2,13133.0,Alessandro Prontera,2023-2024,38
4.0,Sun,2023-09-17,18:00,Fiorentina,Atalanta,1.1,0.7,3–2,32100.0,Luca Pairetto,2023-2024,39
4.0,Sun,2023-09-17,20:45,Roma,Empoli,2.4,0.2,7–0,61443.0,Juan Sacchi,2023-2024,40
4.0,Mon,2023-09-18,18:30,Salernitana,Torino,0.7,1.8,0–3,15480.0,Antonio Giua,2023-2024,41
4.0,Mon,2023-09-18,20:45,Hellas Verona,Bologna,0.4,0.6,0–0,18863.0,Federico La Penna,2023-2024,42
5.0,Fri,2023-09-22,18:30,Salernitana,Frosinone,1.1,0.7,1–1,16217.0,Marco Piccinini,2023-2024,44
5.0,Fri,2023-09-22,20:45,Lecce,Genoa,0.9,0.3,1–0,27000.0,Antonio Rapuano,2023-2024,45
5.0,Sat,2023-09-23,15:00,Milan,Hellas Verona,0.9,0.6,1–0,71070.0,Fabio Maresca,2023-2024,46
5.0,Sat,2023-09-23,18:00,Sassuolo,Juventus,1.6,1.2,4–2,20141.0,Andrea Colombo,2023-2024,47
5.0,Sat,2023-09-23,20:45,Lazio,Monza,1.0,1.2,1–1,36000.0,Rosario Abisso,2023-2024,48
5.0,Sun,2023-09-24,12:30,Empoli,Inter,0.3,1.6,0–1,15651.0,Matteo Marcenaro,2023-2024,49
5.0,Sun,2023-09-24,15:00,Atalanta,Cagliari,1.7,0.8,2–0,14739.0,Ermanno Feliciani,2023-2024,50
5.0,Sun,2023-09-24,15:00,Udinese,Fiorentina,2.2,0.5,0–2,21229.0,Daniele Chiffi,2023-2024,51
5.0,Sun,2023-09-24,18:00,Bologna,Napoli,0.2,2.1,0–0,26621.0,Giovanni Ayroldi,2023-2024,52
5.0,Sun,2023-09-24,20:45,Torino,Roma,0.9,1.4,1–1,23299.0,Marco Guida,2023-2024,53
6.0,Tue,2023-09-26,20:45,Juventus,Lecce,1.4,0.1,1–0,37498.0,Antonio Giua,2023-2024,55
6.0,Wed,2023-09-27,18:30,Hellas Verona,Atalanta,0.5,1.2,0–1,15936.0,Federico Dionisi,2023-2024,56
6.0,Wed,2023-09-27,18:30,Empoli,Salernitana,3.2,0.6,1–0,7979.0,Antonio Rapuano,2023-2024,57
6.0,Wed,2023-09-27,18:30,Cagliari,Milan,0.9,2.1,1–3,16348.0,Federico La Penna,2023-2024,58
6.0,Wed,2023-09-27,20:45,Napoli,Udinese,3.3,0.7,4–1,45305.0,Gianluca Manganiello,2023-2024,59
6.0,Wed,2023-09-27,20:45,Lazio,Torino,0.9,0.3,2–0,35100.0,Michael Fabbri,2023-2024,60
6.0,Wed,2023-09-27,20:45,Inter,Sassuolo,0.9,1.0,1–2,70864.0,Luca Massimi,2023-2024,61
6.0,Thu,2023-09-28,18:30,Monza,Bologna,0.7,0.7,0–0,8930.0,Ivan Pezzuto,2023-2024,62
6.0,Thu,2023-09-28,18:30,Frosinone,Fiorentina,0.7,1.4,1–1,14755.0,Francesco Fourneau,2023-2024,63
6.0,Thu,2023-09-28,20:45,Genoa,Roma,1.1,1.4,4–1,32961.0,Daniele Orsato,2023-2024,64
7.0,Sat,2023-09-30,15:00,Lecce,Napoli,0.5,2.5,0–4,27588.0,Luca Pairetto,2023-2024,66
7.0,Sat,2023-09-30,18:00,Milan,Lazio,2.2,0.5,2–0,72035.0,Davide Massa,2023-2024,67
7.0,Sat,2023-09-30,20:45,Salernitana,Inter,0.6,2.3,0–4,28085.0,Rosario Abisso,2023-2024,68
7.0,Sun,2023-10-01,12:30,Bologna,Empoli,2.4,0.9,3–0,23689.0,Fabio Maresca,2023-2024,69
7.0,Sun,2023-10-01,15:00,Udinese,Genoa,1.3,0.8,2–2,20805.0,Maurizio Mariani,2023-2024,70
7.0,Sun,2023-10-01,18:00,Atalanta,Juventus,1.2,0.2,0–0,14811.0,Daniele Chiffi,2023-2024,71
7.0,Sun,2023-10-01,20:45,Roma,Frosinone,0.6,0.9,2–0,62638.0,Matteo Marchetti,2023-2024,72
7.0,Mon,2023-10-02,18:30,Sassuolo,Monza,1.4,1.5,0–1,10165.0,Luca Zufferli,2023-2024,73
7.0,Mon,2023-10-02,18:30,Torino,Hellas Verona,0.6,0.3,0–0,19419.0,Ermanno Feliciani,2023-2024,74
7.0,Mon,2023-10-02,20:45,Fiorentina,Cagliari,1.2,0.8,3–0,27309.0,Marco Di Bello,2023-2024,75
8.0,Fri,2023-10-06,18:30,Empoli,Udinese,1.3,0.7,0–0,7128.0,Michael Fabbri,2023-2024,77
8.0,Fri,2023-10-06,20:45,Lecce,Sassuolo,1.7,1.5,1–1,26160.0,Juan Sacchi,2023-2024,78
8.0,Sat,2023-10-07,15:00,Inter,Bologna,0.7,1.3,2–2,74072.0,Marco Guida,2023-2024,79
8.0,Sat,2023-10-07,18:00,Juventus,Torino,1.9,0.6,2–0,38858.0,Davide Massa,2023-2024,80
8.0,Sat,2023-10-07,20:45,Genoa,Milan,0.5,0.6,0–1,33157.0,Marco Piccinini,2023-2024,81
8.0,Sun,2023-10-08,12:30,Monza,Salernitana,2.8,0.6,3–0,12494.0,Luca Massimi,2023-2024,82
8.0,Sun,2023-10-08,15:00,Lazio,Atalanta,1.6,1.0,3–2,41000.0,Daniele Orsato,2023-2024,83
8.0,Sun,2023-10-08,15:00,Frosinone,Hellas Verona,1.8,0.8,2–1,13034.0,Maria Sole Ferrieri Caputi,2023-2024,84
8.0,Sun,2023-10-08,18:00,Cagliari,Roma,1.7,2.6,1–4,16307.0,Simone Sozza,2023-2024,85
8.0,Sun,2023-10-08,20:45,Napoli,Fiorentina,1.8,2.1,1–3,45000.0,Federico La Penna,2023-2024,86
9.0,Sat,2023-10-21,15:00,Hellas Verona,Napoli,1.3,2.3,1–3,20549.0,Rosario Abisso,2023-2024,88
9.0,Sat,2023-10-21,18:00,Torino,Inter,0.4,2.5,0–3,26193.0,Matteo Marchetti,2023-2024,89
9.0,Sat,2023-10-21,20:45,Sassuolo,Lazio,0.5,2.3,0–2,15597.0,Marco Di Bello,2023-2024,90
9.0,Sun,2023-10-22,12:30,Roma,Monza,1.7,0.4,1–0,62022.0,Giovanni Ayroldi,2023-2024,91
9.0,Sun,2023-10-22,15:00,Bologna,Frosinone,1.5,1.5,2–1,26729.0,Daniele Doveri,2023-2024,92
9.0,Sun,2023-10-22,15:00,Salernitana,Cagliari,1.5,1.7,2–2,17409.0,Daniele Chiffi,2023-2024,93
9.0,Sun,2023-10-22,18:00,Atalanta,Genoa,1.2,1.0,2–0,14848.0,Livio Marinelli,2023-2024,94
9.0,Sun,2023-10-22,20:45,Milan,Juventus,0.3,1.4,0–1,75676.0,Maurizio Mariani,2023-2024,95
9.0,Mon,2023-10-23,18:30,Udinese,Lecce,2.1,0.8,1–1,20113.0,Paride Tremolada,2023-2024,96
9.0,Mon,2023-10-23,20:45,Fiorentina,Empoli,1.0,1.5,0–2,43147.0,Federico Dionisi,2023-2024,97
10.0,Fri,2023-10-27,20:45,Genoa,Salernitana,0.5,0.6,1–0,31904.0,Davide Massa,2023-2024,99
10.0,Sat,2023-10-28,15:00,Sassuolo,Bologna,0.9,1.0,1–1,16931.0,Antonio Giua,2023-2024,100
10.0,Sat,2023-10-28,18:00,Lecce,Torino,0.5,0.8,0–1,26123.0,Gianluca Aureliano,2023-2024,101
10.0,Sat,2023-10-28,20:45,Juventus,Hellas Verona,3.3,0.3,1–0,39429.0,Ermanno Feliciani,2023-2024,102
10.0,Sun,2023-10-29,12:30,Cagliari,Frosinone,3.4,1.5,4–3,15946.0,Luca Pairetto,2023-2024,103
10.0,Sun,2023-10-29,15:00,Monza,Udinese,0.5,1.1,1–1,10311.0,Alessandro Prontera,2023-2024,104
10.0,Sun,2023-10-29,18:00,Inter,Roma,2.2,0.1,1–0,75573.0,Fabio Maresca,2023-2024,105
10.0,Sun,2023-10-29,20:45,Napoli,Milan,1.7,2.0,2–2,54000.0,Daniele Orsato,2023-2024,106
10.0,Mon,2023-10-30,18:30,Empoli,Atalanta,0.3,1.6,0–3,7825.0,Luca Massimi,2023-2024,107
10.0,Mon,2023-10-30,20:45,Lazio,Fiorentina,1.9,0.4,1–0,35000.0,Matteo Marcenaro,2023-2024,108
11.0,Fri,2023-11-03,20:45,Bologna,Lazio,0.6,0.5,1–0,24178.0,Federico La Penna,2023-2024,110
11.0,Sat,2023-11-04,15:00,Salernitana,Napoli,0.3,1.4,0–2,16812.0,Antonio Rapuano,2023-2024,111
11.0,Sat,2023-11-04,18:00,Atalanta,Inter,1.0,1.3,1–2,14945.0,Simone Sozza,2023-2024,112
11.0,Sat,2023-11-04,20:45,Milan,Udinese,0.9,1.4,0–1,71018.0,Juan Sacchi,2023-2024,113
11.0,Sun,2023-11-05,12:30,Hellas Verona,Monza,1.0,0.9,1–3,17505.0,Giuseppe Collu,2023-2024,114
11.0,Sun,2023-11-05,15:00,Cagliari,Genoa,0.9,1.0,2–1,16412.0,Marco Guida,2023-2024,115
11.0,Sun,2023-11-05,18:00,Roma,Lecce,2.0,0.8,2–1,64790.0,Andrea Colombo,2023-2024,116
11.0,Sun,2023-11-05,20:45,Fiorentina,Juventus,0.7,0.7,0–1,38225.0,Daniele Chiffi,2023-2024,117
11.0,Mon,2023-11-06,18:30,Frosinone,Empoli,0.8,1.5,2–1,13229.0,Gianluca Manganiello,2023-2024,118
11.0,Mon,2023-11-06,20:45,Torino,Sassuolo,3.5,0.5,2–1,18000.0,Maria Sole Ferrieri Caputi,2023-2024,119
12.0,Fri,2023-11-10,18:30,Sassuolo,Salernitana,2.9,0.8,2–2,10945.0,Davide Ghersini,2023-2024,121
12.0,Fri,2023-11-10,20:45,Genoa,Hellas Verona,1.6,0.2,1–0,30421.0,Daniele Orsato,2023-2024,122
12.0,Sat,2023-11-11,15:00,Lecce,Milan,1.4,1.1,2–2,26480.0,Rosario Abisso,2023-2024,123
12.0,Sat,2023-11-11,18:00,Juventus,Cagliari,2.3,0.6,2–1,39892.0,Marco Piccinini,2023-2024,124
12.0,Sat,2023-11-11,20:45,Monza,Torino,0.9,1.0,1–1,11777.0,Daniele Doveri,2023-2024,125
12.0,Sun,2023-11-12,12:30,Napoli,Empoli,0.9,0.5,0–1,50500.0,Alessandro Prontera,2023-2024,126
12.0,Sun,2023-11-12,15:00,Fiorentina,Bologna,1.4,1.8,2–1,29750.0,Fabio Maresca,2023-2024,127
12.0,Sun,2023-11-12,15:00,Udinese,Atalanta,1.5,0.7,1–1,23100.0,Gianluca Aureliano,2023-2024,128
12.0,Sun,2023-11-12,18:00,Lazio,Roma,0.4,0.4,0–0,63000.0,Davide Massa,2023-2024,129
12.0,Sun,2023-11-12,20:45,Inter,Frosinone,3.1,0.7,2–0,70816.0,Federico Dionisi,2023-2024,130
13.0,Sat,2023-11-25,15:00,Salernitana,Lazio,1.7,2.0,2–1,16700.0,Alessandro Prontera,2023-2024,132
13.0,Sat,2023-11-25,18:00,Atalanta,Napoli,1.0,2.0,1–2,14743.0,Maurizio Mariani,2023-2024,133
13.0,Sat,2023-11-25,20:45,Milan,Fiorentina,1.8,1.8,1–0,73074.0,Marco Di Bello,2023-2024,134
13.0,Sun,2023-11-26,12:30,Cagliari,Monza,1.6,0.7,1–1,16291.0,Matteo Marchetti,2023-2024,135
13.0,Sun,2023-11-26,15:00,Frosinone,Genoa,0.6,1.3,2–1,14018.0,Luca Zufferli,2023-2024,136
13.0,Sun,2023-11-26,15:00,Empoli,Sassuolo,1.4,2.3,3–4,9954.0,Simone Sozza,2023-2024,137
13.0,Sun,2023-11-26,18:00,Roma,Udinese,1.4,0.5,3–1,61015.0,Luca Massimi,2023-2024,138
13.0,Sun,2023-11-26,20:45,Juventus,Inter,0.4,0.9,1–1,41507.0,Marco Guida,2023-2024,139
13.0,Mon,2023-11-27,18:30,Hellas Verona,Lecce,1.7,1.0,2–2,16730.0,Federico La Penna,2023-2024,140
13.0,Mon,2023-11-27,20:45,Bologna,Torino,1.5,0.4,2–0,20705.0,Andrea Colombo,2023-2024,141
14.0,Fri,2023-12-01,20:45,Monza,Juventus,0.7,2.5,1–2,15148.0,Michael Fabbri,2023-2024,143
14.0,Sat,2023-12-02,15:00,Genoa,Empoli,1.0,0.8,1–1,30747.0,Gianluca Aureliano,2023-2024,144
14.0,Sat,2023-12-02,18:00,Lazio,Cagliari,2.0,0.6,1–0,37000.0,Federico Dionisi,2023-2024,145
14.0,Sat,2023-12-02,20:45,Milan,Frosinone,1.2,0.7,3–1,68684.0,Matteo Marchetti,2023-2024,146
14.0,Sun,2023-12-03,12:30,Lecce,Bologna,1.5,1.2,1–1,24326.0,Daniele Doveri,2023-2024,147
14.0,Sun,2023-12-03,15:00,Udinese,Hellas Verona,1.9,1.3,3–3,22294.0,Fabio Maresca,2023-2024,148
14.0,Sun,2023-12-03,15:00,Fiorentina,Salernitana,2.5,0.8,3–0,26286.0,Paride Tremolada,2023-2024,149
14.0,Sun,2023-12-03,18:00,Sassuolo,Roma,0.8,2.3,1–2,19113.0,Matteo Marcenaro,2023-2024,150
14.0,Sun,2023-12-03,20:45,Napoli,Inter,0.6,2.7,0–3,55000.0,Davide Massa,2023-2024,151
14.0,Mon,2023-12-04,20:45,Torino,Atalanta,1.7,0.5,3–0,18507.0,Marco Piccinini,2023-2024,152
15.0,Fri,2023-12-08,20:45,Juventus,Napoli,0.9,1.2,1–0,41400.0,Daniele Orsato,2023-2024,154
15.0,Sat,2023-12-09,15:00,Hellas Verona,Lazio,1.0,1.0,1–1,28311.0,Giovanni Ayroldi,2023-2024,155
15.0,Sat,2023-12-09,18:00,Atalanta,Milan,3.3,1.5,3–2,14907.0,Federico La Penna,2023-2024,156
15.0,Sat,2023-12-09,20:45,Inter,Udinese,3.5,0.8,4–0,71874.0,Marco Di Bello,2023-2024,157
15.0,Sun,2023-12-10,12:30,Frosinone,Torino,0.8,1.2,0–0,13807.0,Luca Massimi,2023-2024,158
15.0,Sun,2023-12-10,15:00,Monza,Genoa,0.4,1.4,1–0,13283.0,Giuseppe Collu,2023-2024,159
15.0,Sun,2023-12-10,18:00,Salernitana,Bologna,0.5,2.1,1–2,16700.0,Simone Sozza,2023-2024,160
15.0,Sun,2023-12-10,20:45,Roma,Fiorentina,0.7,1.5,1–1,60932.0,Antonio Rapuano,2023-2024,161
15.0,Mon,2023-12-11,18:30,Empoli,Lecce,1.4,0.8,1–1,7152.0,Andrea Colombo,2023-2024,162
15.0,Mon,2023-12-11,20:45,Cagliari,Sassuolo,1.1,0.8,2–1,15769.0,Maurizio Mariani,2023-2024,163
16.0,Fri,2023-12-15,20:45,Genoa,Juventus,0.8,1.7,1–1,33232.0,Davide Massa,2023-2024,165
16.0,Sat,2023-12-16,15:00,Lecce,Frosinone,0.7,1.7,2–1,23645.0,Luca Zufferli,2023-2024,166
16.0,Sat,2023-12-16,18:00,Napoli,Cagliari,1.8,1.1,2–1,45000.0,Matteo Marcenaro,2023-2024,167
16.0,Sat,2023-12-16,20:45,Torino,Empoli,1.1,0.3,1–0,17815.0,Livio Marinelli,2023-2024,168
16.0,Sun,2023-12-17,12:30,Milan,Monza,2.0,1.5,3–0,70538.0,Gianluca Aureliano,2023-2024,169
16.0,Sun,2023-12-17,15:00,Fiorentina,Hellas Verona,0.5,2.5,1–0,26311.0,Maria Sole Ferrieri Caputi,2023-2024,170
16.0,Sun,2023-12-17,15:00,Udinese,Sassuolo,0.8,3.0,2–2,20490.0,Gianluca Manganiello,2023-2024,171
16.0,Sun,2023-12-17,18:00,Bologna,Roma,0.5,0.6,2–0,25579.0,Marco Guida,2023-2024,172
16.0,Sun,2023-12-17,20:45,Lazio,Inter,1.5,1.6,0–2,59000.0,Fabio Maresca,2023-2024,173
16.0,Mon,2023-12-18,20:45,Atalanta,Salernitana,1.9,1.3,4–1,14264.0,Ermanno Feliciani,2023-2024,174
17.0,Fri,2023-12-22,18:30,Sassuolo,Genoa,1.4,1.6,1–2,11745.0,Marco Guida,2023-2024,176
17.0,Fri,2023-12-22,18:30,Empoli,Lazio,0.8,2.3,0–2,8800.0,Matteo Marchetti,2023-2024,177
17.0,Fri,2023-12-22,20:45,Monza,Fiorentina,0.7,2.0,0–1,10120.0,Juan Sacchi,2023-2024,178
17.0,Fri,2023-12-22,20:45,Salernitana,Milan,1.4,2.2,2–2,23467.0,Daniele Doveri,2023-2024,179
17.0,Sat,2023-12-23,12:30,Frosinone,Juventus,0.5,1.1,1–2,38225.0,Maurizio Mariani,2023-2024,180
17.0,Sat,2023-12-23,15:00,Torino,Udinese,1.0,0.9,1–1,23546.0,Michael Fabbri,2023-2024,181
17.0,Sat,2023-12-23,15:00,Bologna,Atalanta,0.7,1.2,1–0,28082.0,Antonio Rapuano,2023-2024,182
17.0,Sat,2023-12-23,18:00,Inter,Lecce,2.9,1.3,2–0,72723.0,Matteo Marcenaro,2023-2024,183
17.0,Sat,2023-12-23,18:00,Hellas Verona,Cagliari,0.9,0.8,2–0,16716.0,Daniele Orsato,2023-2024,184
17.0,Sat,2023-12-23,20:45,Roma,Napoli,1.9,0.7,2–0,62141.0,Andrea Colombo,2023-2024,185
18.0,Fri,2023-12-29,18:30,Napoli,Monza,2.0,1.1,0–0,32915.0,Marco Di Bello,2023-2024,187
18.0,Fri,2023-12-29,18:30,Fiorentina,Torino,0.5,0.3,1–0,32915.0,Federico La Penna,2023-2024,188
18.0,Fri,2023-12-29,20:45,Lazio,Frosinone,1.5,1.1,3–1,40000.0,Ermanno Feliciani,2023-2024,189
18.0,Fri,2023-12-29,20:45,Genoa,Inter,0.5,1.8,1–1,33249.0,Daniele Doveri,2023-2024,190
18.0,Sat,2023-12-30,12:30,Atalanta,Lecce,1.1,1.2,1–0,14864.0,Gianluca Manganiello,2023-2024,191
18.0,Sat,2023-12-30,15:00,Udinese,Bologna,1.1,0.9,3–0,24786.0,Daniele Orsato,2023-2024,192
18.0,Sat,2023-12-30,15:00,Cagliari,Empoli,1.8,0.3,0–0,16125.0,Fabio Maresca,2023-2024,193
18.0,Sat,2023-12-30,18:00,Milan,Sassuolo,1.5,0.5,1–0,70385.0,Livio Marinelli,2023-2024,194
18.0,Sat,2023-12-30,18:00,Hellas Verona,Salernitana,0.8,0.5,0–1,18181.0,Maurizio Mariani,2023-2024,195
18.0,Sat,2023-12-30,20:45,Juventus,Roma,1.1,0.5,1–0,41503.0,Simone Sozza,2023-2024,196
19.0,Fri,2024-01-05,20:45,Bologna,Genoa,1.3,0.1,1–1,25095.0,Andrea Colombo,2023-2024,198
19.0,Sat,2024-01-06,12:30,Inter,Hellas Verona,1.9,1.3,2–1,71691.0,Michael Fabbri,2023-2024,199
19.0,Sat,2024-01-06,15:00,Frosinone,Monza,1.2,1.3,2–3,13146.0,Maria Sole Ferrieri Caputi,2023-2024,200
19.0,Sat,2024-01-06,18:00,Lecce,Cagliari,1.5,1.0,1–1,25203.0,Davide Massa,2023-2024,201
19.0,Sat,2024-01-06,20:45,Sassuolo,Fiorentina,0.9,1.2,1–0,15759.0,Rosario Abisso,2023-2024,202
19.0,Sun,2024-01-07,12:30,Empoli,Milan,0.9,1.7,0–3,15009.0,Federico La Penna,2023-2024,203
19.0,Sun,2024-01-07,15:00,Udinese,Lazio,0.7,0.5,1–2,23033.0,Juan Sacchi,2023-2024,204
19.0,Sun,2024-01-07,15:00,Torino,Napoli,2.1,1.0,3–0,23960.0,Maurizio Mariani,2023-2024,205
19.0,Sun,2024-01-07,18:00,Salernitana,Juventus,0.8,2.0,1–2,40548.0,Marco Guida,2023-2024,206
19.0,Sun,2024-01-07,20:45,Roma,Atalanta,2.1,0.7,1–1,60022.0,Gianluca Aureliano,2023-2024,207
20.0,Sat,2024-01-13,15:00,Napoli,Salernitana,2.2,0.1,2–1,35000.0,Livio Marinelli,2023-2024,209
20.0,Sat,2024-01-13,15:00,Genoa,Torino,0.5,0.4,0–0,33019.0,Antonio Giua,2023-2024,210
20.0,Sat,2024-01-13,18:00,Hellas Verona,Empoli,0.8,0.8,2–1,28723.0,Daniele Doveri,2023-2024,211
20.0,Sat,2024-01-13,20:45,Monza,Inter,1.0,4.3,1–5,14670.0,Antonio Rapuano,2023-2024,212
20.0,Sun,2024-01-14,12:30,Lazio,Lecce,0.9,1.1,1–0,40000.0,Maria Sole Ferrieri Caputi,2023-2024,213
20.0,Sun,2024-01-14,15:00,Cagliari,Bologna,0.7,0.6,2–1,15980.0,Gianluca Manganiello,2023-2024,214
20.0,Sun,2024-01-14,18:00,Fiorentina,Udinese,1.3,1.2,2–2,23686.0,Luca Pairetto,2023-2024,215
20.0,Sun,2024-01-14,20:45,Milan,Roma,1.5,1.4,3–1,74198.0,Marco Guida,2023-2024,216
20.0,Mon,2024-01-15,20:45,Atalanta,Frosinone,3.7,0.4,5–0,14195.0,Alessandro Prontera,2023-2024,217
20.0,Tue,2024-01-16,20:45,Juventus,Sassuolo,1.2,0.3,3–0,39005.0,Marco Piccinini,2023-2024,218
21.0,Sat,2024-01-20,18:00,Roma,Hellas Verona,0.9,1.1,2–1,61857.0,Juan Sacchi,2023-2024,220
21.0,Sat,2024-01-20,20:45,Udinese,Milan,0.6,2.6,2–3,24591.0,Fabio Maresca,2023-2024,221
21.0,Sun,2024-01-21,12:30,Frosinone,Cagliari,2.8,0.6,3–1,13925.0,Federico Dionisi,2023-2024,222
21.0,Sun,2024-01-21,15:00,Empoli,Monza,1.3,0.8,3–0,7650.0,Antonio Giua,2023-2024,223
21.0,Sun,2024-01-21,18:00,Salernitana,Genoa,0.8,1.1,1–2,17440.0,Daniele Orsato,2023-2024,224
21.0,Sun,2024-01-21,20:45,Lecce,Juventus,0.6,2.1,0–3,28074.0,Daniele Doveri,2023-2024,225
22.0,Fri,2024-01-26,20:45,Cagliari,Torino,2.2,1.6,1–2,16196.0,Andrea Colombo,2023-2024,227
22.0,Sat,2024-01-27,15:00,Atalanta,Udinese,1.1,0.6,2–0,14716.0,Marco Piccinini,2023-2024,228
22.0,Sat,2024-01-27,18:00,Juventus,Empoli,0.8,0.8,1–1,39518.0,Livio Marinelli,2023-2024,229
22.0,Sat,2024-01-27,20:45,Milan,Bologna,3.3,1.8,2–2,71334.0,Davide Massa,2023-2024,230
22.0,Sun,2024-01-28,12:30,Genoa,Lecce,1.7,1.8,2–1,32152.0,Luca Pairetto,2023-2024,231
22.0,Sun,2024-01-28,15:00,Monza,Sassuolo,0.4,0.8,1–0,9882.0,Gianluca Manganiello,2023-2024,232
22.0,Sun,2024-01-28,15:00,Hellas Verona,Frosinone,2.2,1.2,1–1,17529.0,Federico La Penna,2023-2024,233
22.0,Sun,2024-01-28,18:00,Lazio,Napoli,0.5,0.2,0–0,30000.0,Daniele Orsato,2023-2024,234
22.0,Sun,2024-01-28,20:45,Fiorentina,Inter,1.8,0.5,0–1,35084.0,Gianluca Aureliano,2023-2024,235
22.0,Mon,2024-01-29,20:45,Salernitana,Roma,1.2,1.6,1–2,18038.0,Marco Di Bello,2023-2024,236
23.0,Fri,2024-02-02,20:45,Lecce,Fiorentina,2.6,1.1,3–2,24778.0,Antonio Giua,2023-2024,238
